,p1,p2,p3,average,accumulated,win_ratio,max_win,max_loss
7395,24.0,47.0,5.0,0.104,3.948,0.421,0.97,-0.128
7396,24.0,47.0,6.0,0.114,3.881,0.412,0.695,-0.134
7397,24.0,47.0,7.0,0.114,3.758,0.394,0.695,-0.15
7398,24.0,47.0,8.0,0.112,3.579,0.406,0.695,-0.15
7399,24.0,47.0,9.0,0.118,3.673,0.419,0.695,-0.15
7400,24.0,47.0,10.0,0.134,3.754,0.464,0.754,-0.15
7401,24.0,47.0,11.0,0.156,3.901,0.48,0.754,-0.125
7402,24.0,47.0,12.0,0.161,3.702,0.522,0.691,-0.125
7403,24.0,47.0,13.0,0.155,3.573,0.522,0.691,-0.173
7404,24.0,47.0,14.0,0.157,3.451,0.545,0.691,-0.173
7405,24.0,47.0,15.0,0.145,3.193,0.545,0.691,-0.171
7406,24.0,47.0,16.0,0.145,3.332,0.522,0.717,-0.171
7407,24.0,47.0,17.0,0.139,3.208,0.522,0.717,-0.213
7408,24.0,47.0,18.0,0.131,3.021,0.478,0.717,-0.213
7409,24.0,47.0,19.0,0.147,3.379,0.435,0.92,-0.213
7410,24.0,48.0,5.0,0.106,4.031,0.421,0.97,-0.128
7411,24.0,48.0,6.0,0.118,3.9,0.424,0.695,-0.128
7412,24.0,48.0,7.0,0.114,3.751,0.394,0.695,-0.15
7413,24.0,48.0,8.0,0.12,3.709,0.419,0.695,-0.15
7414,24.0,48.0,9.0,0.124,3.718,0.433,0.695,-0.15
7415,24.0,48.0,10.0,0.134,3.758,0.464,0.754,-0.15
7416,24.0,48.0,11.0,0.151,3.763,0.48,0.754,-0.125
7417,24.0,48.0,12.0,0.161,3.702,0.522,0.691,-0.125
7418,24.0,48.0,13.0,0.163,3.578,0.545,0.691,-0.173
7419,24.0,48.0,14.0,0.145,3.192,0.545,0.691,-0.173
7420,24.0,48.0,15.0,0.136,3.135,0.522,0.717,-0.171
7421,24.0,48.0,16.0,0.144,3.302,0.522,0.717,-0.171
7422,24.0,48.0,17.0,0.133,3.069,0.522,0.717,-0.213
7423,24.0,48.0,18.0,0.133,3.186,0.458,0.865,-0.213
7424,24.0,48.0,19.0,0.164,3.436,0.476,0.92,-0.213
7425,24.0,49.0,5.0,0.107,4.058,0.421,0.97,-0.128
7426,24.0,49.0,6.0,0.125,4.003,0.406,0.695,-0.128
7427,24.0,49.0,7.0,0.112,3.705,0.394,0.695,-0.15
7428,24.0,49.0,8.0,0.121,3.739,0.419,0.695,-0.15
7429,24.0,49.0,9.0,0.13,3.764,0.448,0.754,-0.15
7430,24.0,49.0,10.0,0.141,3.818,0.481,0.754,-0.15
